applicant_id,age,city_tier,employment_type,monthly_income_inr,income_volatility,upi_inflow_avg_inr,upi_transaction_count,monthly_expense_inr,emi_obligations_inr,credit_bureau_score,existing_loans_count,ever_defaulted,gst_filing_months,avg_monthly_gst_inr,loan_amount_requested,loan_tenure_months,loan_purpose,default_probability,risk_label,is_thin_file
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,40,Tier1,Salaried,61988.99,0.5492,60309.56,193,34683.22,0.0,321,0,False,,,961021.33,36,Business,0.6286,High,False
371ecd7b-27cd-4130-8722-9389571aa876,54,Tier2,Salaried,58027.26,0.156,49362.66,89,30799.23,2842.58,773,1,False,,,479355.54,36,Business,0.2836,Medium,False
1a2a73ed-562b-4f79-8374-59eef50bea63,37,Tier2,Self-employed,36534.9,0.0713,39476.83,11,17670.98,14324.18,,2,False,14,5236.65,256553.54,60,Personal,0.5312,High,True
5be6128e-18c2-4797-a142-ea7d17be3111,39,Tier2,MSME,72824.68,0.2872,64474.11,296,37584.36,24717.58,610,1,False,6,4933.51,1007060.56,36,Personal,0.4314,Medium,False
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,41,Tier3,Self-employed,47428.78,0.1926,46077.36,96,19663.48,0.0,450,0,False,22,4985.11,948575.6,48,Business,0.6122,High,False
759cde66-bacf-43d0-8b1f-9163ce9ff57f,46,Tier2,Salaried,20021.53,0.0881,19892.09,40,14847.34,4619.12,464,2,False,,,400430.6,6,Business,0.7155,High,False
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,43,Tier2,Salaried,44479.84,0.2703,39981.16,95,24172.54,3359.18,,2,False,,,889596.8,6,Personal,0.5936,High,True
4b0dbb41-8d52-48f1-942c-3fe860e7a113,52,Tier3,Salaried,18766.52,0.0849,19116.56,134,11326.34,0.0,,0,False,,,375330.4,18,Business,0.5559,High,True
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,56,Tier3,Gig,61950.81,0.4208,60355.35,203,40035.05,0.0,733,0,False,,,1239016.2,6,Business,0.4672,Medium,False
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,39,Tier2,Gig,33882.42,0.3206,36890.2,160,16397.51,0.0,,0,False,,,677648.4,24,Education,0.5562,High,True
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,42,Tier3,Self-employed,31037.23,0.1441,26942.95,169,20552.63,11148.24,507,2,False,4,4663.36,620744.6,18,Education,0.6166,High,False
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,26,Tier1,Salaried,22482.65,0.1995,25497.9,37,12158.72,0.0,,0,False,,,449653.0,36,Business,0.5551,High,True
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,27,Tier2,MSME,77478.46,0.6039,87957.01,98,55663.61,0.0,,0,False,10,8748.63,1035200.99,12,Education,0.6665,High,True
7412b293-4729-4739-a14f-f3d719db3ad0,54,Tier2,Salaried,31655.25,0.308,29100.57,300,13776.52,8127.65,365,1,False,,,199490.78,18,Home,0.6221,High,False
29a3b2e9-5d65-4441-9588-42dea2bc372f,35,Tier1,Gig,26494.44,0.5378,28338.62,158,16101.47,881.77,681,3,False,,,529888.8,24,Medical,0.4648,Medium,False
ab9099a4-35a2-40ae-9af3-05535ec42e08,51,Tier2,MSME,27839.65,0.0695,28583.86,297,17541.83,0.0,521,0,False,21,1704.21,380709.88,36,Business,0.5358,High,False
aefcfad8-efc8-4849-b3aa-7efe4458a885,40,Tier3,Self-employed,49469.14,0.7076,48095.8,174,25238.4,0.0,668,0,False,1,5521.52,767661.45,24,Personal,0.5283,High,False
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,39,Tier2,MSME,44384.34,0.2333,41634.93,204,27215.76,935.42,485,1,False,6,2158.04,729377.49,48,Home,0.5888,High,False
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,23,Tier2,Salaried,45769.79,0.5872,38089.71,259,22685.1,9964.69,,1,False,,,850839.19,18,Business,0.4394,Medium,True
451b4cf3-6123-4df7-b656-af7229d4beef,40,Tier2,Gig,46311.1,0.2198,43257.23,69,24115.0,13969.68,,1,True,,,827733.62,18,Medical,0.8581,High,True
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,45,Tier1,Salaried,140811.06,0.3206,126835.84,50,58342.07,24783.92,649,3,False,,,15846.44,18,Personal,0.4953,Medium,False
5304317f-af42-412f-b838-b3268e944239,49,Tier3,Self-employed,26874.51,0.5231,24994.3,189,18058.4,0.0,768,0,False,12,3023.9,537490.2,6,Personal,0.1909,Low,False
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,37,Tier2,Salaried,25088.02,0.0878,21714.44,242,15408.82,0.0,,0,False,,,256031.35,36,Business,0.3836,Medium,True
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,35,Tier2,Salaried,20622.77,0.4027,22662.35,199,10353.78,0.0,786,0,False,,,138038.98,60,Medical,0.1919,Low,False
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,44,Tier3,Salaried,52234.06,0.6642,58487.57,229,38187.45,0.0,396,0,False,,,159728.29,18,Personal,0.7139,High,False
9132b63e-f162-47e4-a9c3-49e03602f8ac,43,Tier2,Salaried,72906.66,0.2328,63389.4,294,43259.23,20088.72,,1,False,,,36406.35,6,Personal,0.4231,Medium,True
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,33,Tier3,Self-employed,32501.37,0.4433,35022.15,235,25523.51,2136.37,,2,False,19,3717.05,650027.4,18,Medical,0.346,Medium,True
e27a984d-6548-41d0-bfcd-9eb1a7cad415,25,Tier2,Self-employed,20272.12,0.2195,19884.64,212,13846.66,0.0,,0,False,15,853.4,405442.4,12,Education,0.4451,Medium,True
24933b83-7577-40a9-a491-f0b2ea1fca65,58,Tier1,Salaried,20479.72,0.4465,17849.29,94,9163.78,3973.61,897,2,False,,,116528.81,12,Home,0.2953,Medium,False
beb79919-3f22-4af8-a3be-d01d43cf2fde,43,Tier2,MSME,53422.57,0.2487,56166.07,120,41484.25,0.0,,0,False,6,6033.07,591695.77,60,Home,0.5254,High,True
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,46,Tier2,MSME,56739.08,0.6414,47617.15,174,27197.65,15261.83,,1,False,17,10263.06,494493.7,60,Business,0.6104,High,True
956269f0-e5d7-4875-adad-d6c795a76d79,34,Tier1,Salaried,49819.09,0.378,49326.17,131,32194.73,0.0,884,0,False,,,996381.8,18,Business,0.2668,Medium,False
ff50bde4-3825-47b8-9cab-cc97663f1c97,56,Tier2,Self-employed,22709.12,0.1965,22536.34,12,9842.89,8469.61,,1,False,19,2702.9,454182.4,24,Business,0.3921,Medium,True
7e570ddf-8270-40a8-a369-b584ff5e9ff0,56,Tier1,Gig,40701.01,0.0687,42626.52,45,32353.3,0.0,,0,False,,,814020.2,36,Education,0.601,High,True
dc713d96-0c0f-4195-817a-f08a1745d6d8,46,Tier2,Gig,37757.87,0.3623,44540.4,209,29688.04,10140.95,,3,False,,,755157.4,36,Home,0.5458,High,True
28f49481-a0a0-4dc4-a720-9bdf1c11f735,41,Tier2,Self-employed,40346.14,0.3008,38387.05,207,21649.35,11271.25,444,3,False,0,2947.67,806922.8,6,Business,0.5583,High,False
98ae4334-6c12-4ce8-ae34-0454cac5b68c,23,Tier1,Gig,61668.72,0.1957,61929.77,50,33936.22,11261.27,407,2,False,,,954270.71,60,Home,0.7944,High,False
988c24c9-61b1-4d22-a280-1c4510435a10,33,Tier1,Salaried,40475.03,0.2908,36442.02,247,26242.34,14079.44,,3,False,,,809500.6,24,Business,0.4466,Medium,True
405cacec-8774-49a9-b7d2-1e02ff01cf99,39,Tier3,Salaried,54415.11,0.2762,58674.79,32,30572.71,0.0,528,0,False,,,383937.42,48,Business,0.6595,High,False
f143262f-dc5c-4eed-8da0-365bf89897b9,52,Tier1,Gig,36571.69,0.4811,34224.99,92,27621.98,10727.11,,1,False,,,429410.34,18,Personal,0.6862,High,True
1d53434b-b881-49b9-ae27-0da702f06b90,45,Tier2,Gig,42236.12,0.2965,43214.1,293,28644.17,0.0,374,0,False,,,688636.1,24,Home,0.6367,High,False
c0398710-8976-4334-a281-7efdae849217,34,Tier3,Gig,52756.42,0.264,48461.13,32,36371.78,12661.26,622,3,True,,,695600.01,60,Personal,0.8136,High,False
5715bd6f-a416-4293-84c2-e2e3444ea7c8,45,Tier2,Salaried,13574.55,0.2006,12404.66,150,10639.35,0.0,425,0,False,,,271491.0,60,Home,0.6605,High,False
287d06ca-6f4c-469a-8b22-d3081c8eaee9,44,Tier1,Salaried,28433.32,0.3577,31454.97,219,13432.08,0.0,618,0,False,,,568666.4,12,Personal,0.3585,Medium,False
b8db0672-f42d-47cc-80d4-af5974273ca3,31,Tier2,Salaried,25780.18,0.3879,25553.01,300,12717.31,3494.17,687,2,False,,,123418.04,6,Medical,0.4273,Medium,False
f8cda88b-436d-46e2-b83c-fe0be037e5ed,29,Tier2,Salaried,23105.66,0.2497,24121.64,242,18310.4,0.0,,0,False,,,462113.2,60,Personal,0.5069,High,True
81f76d1c-2dbc-4134-830f-f46e8026695f,54,Tier2,Salaried,29268.32,0.1256,33569.27,133,21424.1,3715.85,877,2,True,,,70289.99,48,Medical,0.6082,High,False
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,39,Tier1,Self-employed,92486.24,0.4734,102859.07,282,48559.42,0.0,557,0,True,24,4105.16,974234.85,24,Business,0.55,High,False
81f631d4-a392-41a7-9777-a4774c66e0a8,43,Tier2,Self-employed,19936.61,0.2734,20517.17,99,10893.72,5029.34,,1,False,24,368.64,236401.81,6,Personal,0.4594,Medium,True
5fb8d16c-2720-497d-b2eb-d6899be578c7,28,Tier3,Gig,65675.7,0.2295,74628.73,164,47343.93,8697.72,718,3,False,,,53583.16,48,Home,0.5063,High,False
f4188f3f-8a14-4e62-a95b-4715c333e861,33,Tier1,Self-employed,11722.18,0.1843,12888.78,220,5498.23,4438.46,413,1,False,3,881.52,234443.6,12,Business,0.5559,High,False
eb2263dd-87c5-421e-ac24-a3c5c754108f,48,Tier1,Salaried,28153.53,0.1155,24923.03,185,16388.56,0.0,,0,False,,,388453.13,24,Personal,0.4425,Medium,True
7d154385-52fb-443b-9954-6eb400257ad1,57,Tier1,Gig,38905.57,0.0396,39151.44,162,30090.1,0.0,,0,False,,,125416.0,12,Education,0.5608,High,True
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,55,Tier2,Salaried,51233.45,0.588,53242.13,264,21073.57,0.0,428,0,False,,,897689.39,6,Personal,0.5707,High,False
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,28,Tier2,MSME,55570.1,0.1729,50590.95,237,34620.8,0.0,,0,False,4,560.61,1096127.74,48,Medical,0.4231,Medium,True
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,49,Tier1,Salaried,58616.94,0.1424,63070.38,194,39048.43,10916.4,,1,False,,,861288.84,48,Medical,0.4565,Medium,True
14296c07-f26b-4776-913e-4de2e0c53cb8,38,Tier3,Self-employed,27901.4,0.5786,25895.47,46,12243.68,0.0,443,0,False,13,2739.75,558028.0,60,Business,0.7276,High,False
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,39,Tier2,MSME,25914.93,0.3844,22451.39,87,15137.74,0.0,357,0,True,13,4098.88,274287.36,24,Home,0.901,High,False
885f6e66-c2b6-42c5-ba5d-310011b7e948,51,Tier3,Self-employed,61131.81,0.2676,56345.93,29,48375.84,0.0,384,0,False,9,2079.32,123027.98,48,Home,0.6869,High,False
a8e56e0c-20de-435d-a031-d750c40db9b4,26,Tier3,Gig,30907.54,0.3849,28247.41,222,20720.81,6056.97,,3,False,,,74379.44,48,Medical,0.5347,High,True
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,31,Tier2,Gig,15274.0,0.4931,15344.14,134,8774.17,0.0,689,0,False,,,305480.0,36,Personal,0.5727,High,False
9b49bd26-df57-459a-8715-a10343dac043,39,Tier3,Salaried,16755.25,0.378,13410.83,200,10674.73,0.0,646,0,False,,,335105.0,36,Personal,0.3872,Medium,False
edcd465e-3638-4821-b6e0-7cc06c52c49f,29,Tier1,Gig,19253.72,0.1737,16871.97,242,14876.83,6085.46,436,1,False,,,385074.4,36,Business,0.6718,High,False
b09b2a5c-badc-432a-8159-0f538a0f4efb,26,Tier1,MSME,48351.76,0.6683,56490.62,103,19729.97,0.0,,0,False,12,5633.34,421650.34,6,Home,0.7113,High,True
66245bfa-4fcc-439a-b683-d2e6337ea2df,34,Tier1,MSME,38394.91,0.2663,32821.84,205,21598.41,4816.05,836,3,False,5,3874.19,767898.2,24,Personal,0.2108,Medium,False
5f987c71-a65e-488e-abf3-ad39fec21bbe,34,Tier2,Self-employed,54825.95,0.0575,52813.16,24,26351.17,0.0,547,0,False,16,2802.33,980404.39,36,Personal,0.6899,High,False
7394988f-847f-49b4-a64d-1bcb702753a1,55,Tier1,Salaried,26512.96,0.5368,27377.6,295,13548.82,8760.0,594,2,False,,,530259.2,6,Education,0.4118,Medium,False
1064005c-3985-43cf-bf76-be1d1efa2197,27,Tier1,Gig,38799.17,0.2427,38863.41,148,26085.15,7205.96,479,1,False,,,775983.4,48,Home,0.7639,High,False
8dcdcd03-969b-4662-8562-8059568cc69b,26,Tier1,Self-employed,52561.39,0.2432,44733.55,17,40345.31,10726.65,732,2,False,13,4855.97,448902.03,24,Personal,0.4745,Medium,False
01d74256-3860-4ab6-96a4-02f23ae8cc93,52,Tier2,Salaried,28624.78,0.382,29134.06,167,16902.39,1627.46,,1,False,,,572495.6,12,Personal,0.4542,Medium,True
0f1259e0-a18f-46b6-b535-106e122c9a56,34,Tier3,Salaried,47099.01,0.379,51583.8,220,24036.46,7711.0,,2,False,,,329306.93,18,Personal,0.445,Medium,True
080aadfb-e7c9-4b26-9141-25c63a9bedd4,50,Tier2,Salaried,22762.08,0.264,24062.36,74,17726.93,5816.44,827,1,False,,,455241.6,60,Education,0.2389,Medium,False
839fbc50-1223-4513-9496-f63cdc1110c1,35,Tier2,Self-employed,27642.74,0.3498,24826.98,84,19119.97,5236.41,758,1,False,1,3696.71,431021.55,48,Medical,0.2345,Medium,False
7c441fe7-ab42-40a7-874a-493b3ceddf2d,44,Tier2,Salaried,27309.06,0.5549,25644.54,58,18175.39,9385.8,,2,True,,,546181.2,60,Medical,0.7957,High,True
b92da22b-21df-406f-8a0b-3c3336d8393a,52,Tier1,Salaried,16087.66,0.1786,18375.27,36,7493.41,2825.84,,1,False,,,321753.2,18,Personal,0.4938,Medium,True
93829b43-922f-415a-a1e3-db63ef7ddc76,36,Tier2,Salaried,48032.61,0.1147,41844.04,279,35401.39,2532.82,365,1,False,,,802220.87,48,Business,0.5983,High,False
7914c120-c8dc-419f-be35-11287900f7f9,24,Tier2,MSME,25796.44,0.2703,26179.7,172,11868.12,0.0,454,0,False,12,2306.48,490184.29,36,Business,0.62,High,False
1825bc54-30be-445f-a835-14f2ceb81f9d,38,Tier3,Salaried,35285.4,0.4713,29418.13,28,25364.82,0.0,,0,False,,,705708.0,60,Home,0.5342,High,True
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,30,Tier2,Salaried,47838.63,0.1885,47256.16,228,21288.44,0.0,821,0,False,,,172137.6,6,Personal,0.1867,Low,False
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,36,Tier2,Self-employed,46786.44,0.1884,47864.38,44,31750.01,0.0,466,0,False,0,3443.62,935728.8,24,Business,0.7444,High,False
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,48,Tier1,Salaried,53938.71,0.2941,49480.3,167,30211.56,21180.88,,1,False,,,228695.87,12,Medical,0.4167,Medium,True
0f844fef-1931-49ee-a56c-0941fbf24050,46,Tier2,MSME,32829.66,0.5535,36618.66,214,14284.15,0.0,550,0,False,2,3625.16,617142.57,24,Business,0.3994,Medium,False
ccf3a171-56dc-4907-ba6c-34ab6712303a,47,Tier2,MSME,26581.2,0.5687,25906.63,158,20317.58,1662.75,,1,False,10,5047.8,531624.0,12,Personal,0.4525,Medium,True
310c0c00-3fa7-4104-9bf9-0e27dc96925e,35,Tier2,Self-employed,33232.6,0.1981,35097.35,207,21042.51,2555.63,852,2,False,24,1767.23,645784.88,48,Business,0.0728,Low,False
23e2fcb4-72d8-467d-894a-05e430b187ef,56,Tier2,Self-employed,11688.21,0.1125,12547.41,39,5443.16,2415.83,777,1,False,19,1056.81,233764.2,60,Business,0.1888,Low,False
766ecb15-474e-4c19-aef9-12766c006f61,45,Tier2,Self-employed,13663.46,0.291,15787.96,148,9924.64,812.81,,2,False,4,1256.71,273269.2,60,Medical,0.5562,High,True
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,56,Tier3,Salaried,14814.31,0.0845,17010.67,225,9377.83,0.0,669,0,False,,,296286.2,6,Home,0.3792,Medium,False
db20a56e-dc81-4fe7-8eda-8bbb71710434,29,Tier2,Salaried,18304.33,0.3238,19255.5,226,12880.75,0.0,628,0,False,,,66753.37,60,Personal,0.4691,Medium,False
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,26,Tier2,Salaried,45385.89,0.4578,41875.32,29,30411.42,8403.14,352,2,False,,,67516.39,60,Home,0.722,High,False
03c72ba8-d605-4770-8a63-f881ffd0f9d5,22,Tier2,Salaried,19429.39,0.3857,18045.3,182,11120.12,4746.79,,2,False,,,388587.8,24,Medical,0.4828,Medium,True
c0e9ab30-ed26-42e9-97e0-11b7f8102383,55,Tier2,Self-employed,27372.6,0.1996,25482.24,71,21198.17,9346.45,401,2,False,10,2747.41,547452.0,48,Personal,0.721,High,False
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,40,Tier1,Salaried,81438.36,0.3486,69120.29,202,53796.5,10131.64,690,1,False,,,205042.55,18,Personal,0.4652,Medium,False
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,27,Tier2,Salaried,27765.01,0.554,29418.81,126,12931.12,3243.01,795,2,True,,,248674.1,18,Personal,0.5699,High,False
2a25a888-0f02-4ad0-a706-7ef466aa9385,45,Tier1,Self-employed,56527.84,0.4233,61185.64,198,42345.07,11339.48,,2,False,1,8228.43,864207.41,6,Business,0.4441,Medium,True
63f2ae24-fc3d-4348-808d-4127610461e3,39,Tier1,Self-employed,19077.25,0.21,17962.75,210,12346.44,2453.83,700,2,False,23,1960.04,381545.0,36,Personal,0.2482,Medium,False
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,51,Tier2,Salaried,30624.91,0.2863,31836.35,55,23698.83,5670.63,712,2,True,,,25943.01,6,Personal,0.7471,High,False
b253d218-6c4a-47ea-8906-17f2747b6dba,30,Tier3,Salaried,18874.91,0.6859,18376.75,137,13245.71,0.0,,0,False,,,377498.2,48,Business,0.6652,High,True
c88a618e-fed4-457d-bb02-6576f512c4c3,41,Tier3,Salaried,28077.73,0.3156,26071.39,210,12952.8,0.0,,0,False,,,162496.8,12,Medical,0.474,Medium,True
7c967f79-b7e9-4aca-a970-65e18e46d534,55,Tier2,Salaried,60433.79,0.7328,52751.95,238,46890.2,0.0,504,0,False,,,1208675.8,18,Business,0.769,High,False
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,36,Tier3,Gig,11388.34,0.3386,11476.22,250,5344.66,4189.73,529,1,False,,,227766.8,24,Home,0.6049,High,False
bc594585-9445-48c0-8ef8-c2d6f7fd5646,36,Tier3,MSME,46419.68,0.3408,42331.61,107,35388.25,17682.07,832,2,False,16,927.17,315310.26,48,Business,0.2692,Medium,False
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,44,Tier2,Self-employed,40848.75,0.2907,38120.46,175,31791.61,0.0,557,0,False,14,1793.03,309645.46,24,Home,0.3993,Medium,False
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,57,Tier3,Self-employed,23787.27,0.2014,22038.43,23,17422.61,0.0,,0,True,2,2184.6,475745.4,36,Medical,0.811,High,True
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,35,Tier1,Gig,13672.83,0.2254,13279.72,161,9548.59,515.72,616,2,False,,,273456.6,48,Education,0.4787,Medium,False
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,57,Tier1,Gig,36680.02,0.0799,31318.93,128,16062.89,0.0,,0,False,,,584081.71,60,Business,0.6334,High,True
118a9d29-2f92-4996-99f1-95d014822f53,32,Tier1,Salaried,24808.29,0.0852,24883.72,230,11333.57,8119.14,872,2,False,,,496165.8,60,Business,0.2103,Medium,False
dca02eec-acda-4acc-9165-e21098543881,34,Tier1,Salaried,40714.63,0.1106,39922.85,283,29158.66,0.0,,0,False,,,327609.26,6,Personal,0.3523,Medium,True
f10c718b-1eb0-438a-a75d-d5af3c365296,56,Tier1,Self-employed,35500.68,0.2877,38589.23,152,26540.15,0.0,667,0,False,10,5776.74,476558.96,18,Personal,0.4363,Medium,False
94340a03-3f07-4814-91d6-3f78e3e9de99,46,Tier1,Self-employed,99137.16,0.3414,100376.2,70,42253.13,31571.06,,1,False,6,17835.13,1238101.79,48,Education,0.5717,High,True
14fcdd54-9e8f-4965-8a2c-827e98326856,57,Tier2,Salaried,29957.12,0.6339,35298.98,291,16557.11,0.0,714,0,False,,,599142.4,36,Business,0.5099,High,False
90b2b633-956b-4c0c-a849-9b926b5252e3,25,Tier3,Salaried,17994.65,0.2684,20564.62,40,7654.73,0.0,,0,False,,,359893.0,24,Personal,0.6023,High,True
42c18a62-ef48-48d5-90fd-9d3f85d51695,30,Tier3,Salaried,39325.66,0.5393,45392.99,54,28254.42,0.0,,0,False,,,646826.69,36,Business,0.5172,High,True
506e5a9a-b758-488d-ab73-295b344a54b8,47,Tier1,Salaried,40380.46,0.6171,38577.22,245,21953.99,0.0,,0,False,,,807609.2,18,Personal,0.6106,High,True
21813d25-6552-48a6-83ff-50113d1a85dd,43,Tier2,Self-employed,84674.97,0.3347,87614.91,170,42827.48,0.0,,0,False,18,14201.92,243964.73,12,Medical,0.388,Medium,True
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,22,Tier3,Gig,60229.99,0.0977,66354.81,273,26084.21,21206.43,821,2,False,,,1165808.44,36,Medical,0.3066,Medium,False
ef8c485b-c07a-40f2-add4-253b50f0fd0a,40,Tier1,Self-employed,44137.7,0.6107,37877.69,239,24764.49,0.0,,0,False,10,2569.66,882754.0,18,Personal,0.6293,High,True
9f044aed-7552-4327-8262-7f7312922f83,54,Tier2,Salaried,90603.69,0.4801,85196.29,70,58192.58,5678.72,509,1,False,,,1231311.41,12,Education,0.7179,High,False
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,27,Tier3,Salaried,16161.83,0.5527,16709.46,27,8569.53,0.0,402,0,False,,,323236.6,24,Home,0.6502,High,False
8181a8cc-3691-47eb-89a2-688b12c136e0,26,Tier2,Gig,23092.54,0.3796,24682.7,49,13276.53,6185.73,454,3,True,,,461850.8,24,Personal,0.95,High,False
5958a499-eeea-463e-a1e8-ac6843e42caf,24,Tier1,Self-employed,19164.77,0.3666,18518.7,293,12476.59,1795.59,,2,False,8,400.54,313783.94,48,Personal,0.4668,Medium,True
3e896c64-e117-4ac3-919c-4ea3e1805081,31,Tier1,Salaried,27166.15,0.2956,30561.64,90,14312.81,10448.94,306,4,False,,,543323.0,6,Business,0.7293,High,False
702cdd20-2862-48b8-88f4-ef125e9953d2,22,Tier3,Salaried,14303.47,0.4573,11643.8,157,11321.37,852.14,724,3,False,,,286069.4,12,Medical,0.4253,Medium,False
4d71c366-b41b-4143-8b10-550cd5704f32,32,Tier2,Gig,52889.04,0.504,59546.67,119,34385.29,0.0,,0,False,,,856793.43,12,Business,0.6382,High,True
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,54,Tier2,Gig,30292.6,0.232,31103.76,90,13705.24,7670.23,,2,False,,,605852.0,48,Home,0.6315,High,True
aaf91531-0200-41f0-8768-a84fa76afde6,23,Tier3,MSME,13454.64,0.3086,13171.02,72,9412.29,0.0,617,0,False,4,615.63,269092.8,24,Personal,0.5166,High,False
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,51,Tier2,Gig,18087.51,0.5087,16365.94,52,12197.05,4500.06,363,3,False,,,361750.2,48,Education,0.8001,High,False
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,40,Tier3,Self-employed,42911.17,0.641,39895.88,255,27673.84,4874.52,800,1,False,0,7041.14,858223.4,60,Personal,0.3786,Medium,False
e3c43657-1d8c-4bac-83b4-09ef2260e70f,31,Tier1,Self-employed,60348.15,0.2415,64626.22,226,45598.66,0.0,,0,False,15,7815.09,728163.2,6,Business,0.4984,Medium,True
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,33,Tier1,Salaried,128152.78,0.3982,132875.51,145,96160.25,5232.79,,3,False,,,935993.69,12,Home,0.5234,High,True
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,37,Tier1,Gig,150000.0,0.417,166460.08,173,115285.18,44914.85,,2,False,,,994612.73,12,Business,0.5389,High,True
afffcfd2-341e-440b-97c7-00aab7b56ea7,55,Tier1,Self-employed,45819.7,0.5457,42976.88,168,29670.4,9113.34,519,4,False,6,2613.76,916394.0,6,Medical,0.6714,High,False
81627cf1-4394-42e6-9a58-7e8aa25d6b29,58,Tier1,Salaried,18396.28,0.3904,18633.95,30,12692.59,0.0,672,0,False,,,118189.92,24,Business,0.4736,Medium,False
e87d1c78-e7c4-41c7-8049-7b717d106c60,25,Tier3,MSME,8754.06,0.0793,8760.14,69,3821.19,0.0,606,0,False,6,605.11,175081.2,48,Home,0.4807,Medium,False
